subject_id,group,group_size
sub-28788,2,205
sub-29030,3,197
sub-28822,2,205
sub-0051223,0,155
sub-29733,1,148
sub-29742,0,155
sub-29190,1,148
sub-0050986,0,155
sub-29674,1,148
sub-0051026,3,197
sub-0050130,1,148
sub-28992,2,205
sub-0050601,2,205
sub-29799,0,155
sub-29403,2,205
sub-0051011,0,155
sub-0050518,1,148
sub-29881,0,155
sub-28958,2,205
sub-0051202,2,205
sub-30019,2,205
sub-0051017,3,197
sub-0051164,3,197
sub-29111,1,148
sub-0050607,0,155
sub-29664,2,205
sub-0051327,3,197
sub-29869,2,205
sub-29656,3,197
sub-30005,2,205
sub-29013,0,155
sub-0050292,2,205
sub-0050241,1,148
sub-29569,1,148
sub-29096,2,205
sub-29545,2,205
sub-28933,2,205
sub-28824,3,197
sub-0050057,1,148
sub-29203,2,205
sub-0050125,3,197
sub-0051234,2,205
sub-0050291,3,197
sub-0050408,1,148
sub-0050704,0,155
sub-0050248,0,155
sub-30000,3,197
sub-30150,3,197
sub-29587,0,155
sub-29865,2,205
sub-29283,1,148
sub-0051463,1,148
sub-0051325,0,155
sub-0050285,2,205
sub-29183,3,197
sub-29103,1,148
sub-0051171,3,197
sub-0050974,0,155
sub-28754,1,148
sub-0050118,2,205
sub-29481,1,148
sub-28817,2,205
sub-29209,3,197
sub-0050129,1,148
sub-0050483,3,197
sub-0050954,0,155
sub-0050521,0,155
sub-0050748,3,197
sub-29879,1,148
sub-0051576,0,155
sub-0050232,2,205
sub-29658,1,148
sub-0050278,1,148
sub-0051173,1,148
sub-0050999,2,205
sub-0050984,1,148
sub-0050526,2,205
sub-0051229,1,148
sub-28963,2,205
sub-0050273,2,205
sub-0051178,2,205
sub-0050996,2,205
sub-0050791,0,155
sub-0051573,0,155
sub-29627,2,205
sub-29870,3,197
sub-30151,2,205
sub-28864,0,155
sub-29566,0,155
sub-0050301,0,155
sub-0050500,3,197
sub-28693,2,205
sub-29588,3,197
sub-0050312,0,155
sub-28835,0,155
sub-0050254,1,148
sub-29521,3,197
sub-0050743,0,155
sub-29099,1,148
sub-0050247,0,155
sub-29666,3,197
sub-0051301,3,197
sub-0050056,1,148
sub-0050249,0,155
sub-29794,3,197
sub-0050997,3,197
sub-0050527,0,155
sub-29393,1,148
sub-29281,0,155
sub-0050011,0,155
sub-29877,1,148
sub-28689,2,205
sub-0050403,2,205
sub-0050399,1,148
sub-0051025,2,205
sub-0050010,0,155
sub-0051201,1,148
sub-29059,1,148
sub-29208,3,197
sub-29015,0,155
sub-29886,3,197
sub-0050686,0,155
sub-0050965,3,197
sub-28843,0,155
sub-29508,0,155
sub-29734,3,197
sub-0050992,2,205
sub-0051032,3,197
sub-0051012,3,197
sub-0050627,3,197
sub-0051464,2,205
sub-0050297,0,155
sub-28844,0,155
sub-0051585,2,205
sub-29409,1,148
sub-0050128,2,205
sub-0050756,0,155
sub-0050516,2,205
sub-29740,1,148
sub-29068,2,205
sub-0051580,0,155
sub-0050960,3,197
sub-29216,2,205
sub-29043,3,197
sub-29667,3,197
sub-29435,0,155
sub-28874,3,197
sub-29549,0,155
sub-29066,3,197
sub-0050024,0,155
sub-0050253,1,148
sub-29109,1,148
sub-0050413,0,155
sub-0050498,3,197
sub-0050529,0,155
sub-0050314,2,205
sub-0050279,2,205
sub-0050412,3,197
sub-29660,3,197
sub-0051606,2,205
sub-0050981,3,197
sub-29214,1,148
sub-28800,3,197
sub-29543,3,197
sub-0050014,3,197
sub-28855,2,205
sub-29211,1,148
sub-0050744,0,155
sub-0050602,3,197
sub-29027,2,205
sub-0051014,3,197
sub-0051302,1,148
sub-28787,0,155
sub-28898,3,197
sub-29872,1,148
sub-0050988,3,197
sub-29670,2,205
sub-0050502,3,197
sub-29539,2,205
sub-29031,2,205
sub-30016,2,205
sub-29882,2,205
sub-0050952,2,205
sub-28905,0,155
sub-29063,2,205
sub-0050020,0,155
sub-0050991,2,205
sub-0050480,3,197
sub-0050004,3,197
sub-28865,3,197
sub-0050976,3,197
sub-30011,1,148
sub-0050824,2,205
sub-28890,2,205
sub-0050978,3,197
sub-0051019,1,148
sub-0050647,2,205
sub-0051582,0,155
sub-0050690,3,197
sub-0050496,3,197
sub-0050411,2,205
sub-0050282,3,197
sub-0051248,1,148
sub-29610,3,197
sub-29385,2,205
sub-28807,2,205
sub-0050186,3,197
sub-28941,1,148
