subject_id,group,group_size
sub-28788,1,402
sub-29030,1,402
sub-28822,1,402
sub-0051223,0,303
sub-29733,0,303
sub-29742,0,303
sub-29190,0,303
sub-0050986,0,303
sub-29674,0,303
sub-0051026,1,402
sub-0050130,0,303
sub-28992,1,402
sub-0050601,1,402
sub-29799,0,303
sub-29403,1,402
sub-0051011,0,303
sub-0050518,0,303
sub-29881,0,303
sub-28958,1,402
sub-0051202,1,402
sub-30019,1,402
sub-0051017,1,402
sub-0051164,1,402
sub-29111,0,303
sub-0050607,0,303
sub-29664,1,402
sub-0051327,1,402
sub-29869,1,402
sub-29656,1,402
sub-30005,1,402
sub-29013,0,303
sub-0050292,1,402
sub-0050241,0,303
sub-29569,0,303
sub-29096,1,402
sub-29545,1,402
sub-28933,1,402
sub-28824,1,402
sub-0050057,0,303
sub-29203,1,402
sub-0050125,1,402
sub-0051234,1,402
sub-0050291,1,402
sub-0050408,0,303
sub-0050704,0,303
sub-0050248,0,303
sub-30000,1,402
sub-30150,1,402
sub-29587,0,303
sub-29865,1,402
sub-29283,0,303
sub-0051463,0,303
sub-0051325,0,303
sub-0050285,1,402
sub-29183,1,402
sub-29103,0,303
sub-0051171,1,402
sub-0050974,0,303
sub-28754,0,303
sub-0050118,1,402
sub-29481,0,303
sub-28817,1,402
sub-29209,1,402
sub-0050129,0,303
sub-0050483,1,402
sub-0050954,0,303
sub-0050521,0,303
sub-0050748,1,402
sub-29879,0,303
sub-0051576,0,303
sub-0050232,1,402
sub-29658,0,303
sub-0050278,0,303
sub-0051173,0,303
sub-0050999,1,402
sub-0050984,0,303
sub-0050526,1,402
sub-0051229,0,303
sub-28963,1,402
sub-0050273,1,402
sub-0051178,1,402
sub-0050996,1,402
sub-0050791,0,303
sub-0051573,0,303
sub-29627,1,402
sub-29870,1,402
sub-30151,1,402
sub-28864,0,303
sub-29566,0,303
sub-0050301,0,303
sub-0050500,1,402
sub-28693,1,402
sub-29588,1,402
sub-0050312,0,303
sub-28835,0,303
sub-0050254,0,303
sub-29521,1,402
sub-0050743,0,303
sub-29099,0,303
sub-0050247,0,303
sub-29666,1,402
sub-0051301,1,402
sub-0050056,0,303
sub-0050249,0,303
sub-29794,1,402
sub-0050997,1,402
sub-0050527,0,303
sub-29393,0,303
sub-29281,0,303
sub-0050011,0,303
sub-29877,0,303
sub-28689,1,402
sub-0050403,1,402
sub-0050399,0,303
sub-0051025,1,402
sub-0050010,0,303
sub-0051201,0,303
sub-29059,0,303
sub-29208,1,402
sub-29015,0,303
sub-29886,1,402
sub-0050686,0,303
sub-0050965,1,402
sub-28843,0,303
sub-29508,0,303
sub-29734,1,402
sub-0050992,1,402
sub-0051032,1,402
sub-0051012,1,402
sub-0050627,1,402
sub-0051464,1,402
sub-0050297,0,303
sub-28844,0,303
sub-0051585,1,402
sub-29409,0,303
sub-0050128,1,402
sub-0050756,0,303
sub-0050516,1,402
sub-29740,0,303
sub-29068,1,402
sub-0051580,0,303
sub-0050960,1,402
sub-29216,1,402
sub-29043,1,402
sub-29667,1,402
sub-29435,0,303
sub-28874,1,402
sub-29549,0,303
sub-29066,1,402
sub-0050024,0,303
sub-0050253,0,303
sub-29109,0,303
sub-0050413,0,303
sub-0050498,1,402
sub-0050529,0,303
sub-0050314,1,402
sub-0050279,1,402
sub-0050412,1,402
sub-29660,1,402
sub-0051606,1,402
sub-0050981,1,402
sub-29214,0,303
sub-28800,1,402
sub-29543,1,402
sub-0050014,1,402
sub-28855,1,402
sub-29211,0,303
sub-0050744,0,303
sub-0050602,1,402
sub-29027,1,402
sub-0051014,1,402
sub-0051302,0,303
sub-28787,0,303
sub-28898,1,402
sub-29872,0,303
sub-0050988,1,402
sub-29670,1,402
sub-0050502,1,402
sub-29539,1,402
sub-29031,1,402
sub-30016,1,402
sub-29882,1,402
sub-0050952,1,402
sub-28905,0,303
sub-29063,1,402
sub-0050020,0,303
sub-0050991,1,402
sub-0050480,1,402
sub-0050004,1,402
sub-28865,1,402
sub-0050976,1,402
sub-30011,0,303
sub-0050824,1,402
sub-28890,1,402
sub-0050978,1,402
sub-0051019,0,303
sub-0050647,1,402
sub-0051582,0,303
sub-0050690,1,402
sub-0050496,1,402
sub-0050411,1,402
sub-0050282,1,402
sub-0051248,0,303
sub-29610,1,402
sub-29385,1,402
sub-28807,1,402
sub-0050186,1,402
sub-28941,0,303
sub-0051249,0,303
sub-0051293,1,402
sub-0051318,0,303
sub-29400,1,402
sub-0050027,0,303
sub-29735,0,303
sub-0050983,1,402
sub-29456,1,402
sub-0051292,1,402
sub-28873,1,402
sub-0050525,0,303
sub-29213,0,303
sub-0050008,1,402
sub-29540,0,303
sub-29553,0,303
sub-0051214,1,402
sub-29542,1,402
sub-0050289,1,402
sub-28838,0,303
sub-29477,0,303
sub-29797,0,303
sub-28679,1,402
sub-0050616,1,402
sub-0050119,0,303
sub-29064,0,303
sub-0050013,1,402
sub-28938,0,303
sub-0050287,0,303
sub-29285,1,402
sub-0050515,1,402
sub-29500,1,402
sub-0051015,0,303
sub-0051351,1,402
sub-29055,0,303
sub-0050689,0,303
sub-28972,0,303
sub-0050493,1,402
sub-28937,1,402
sub-0051007,1,402
sub-29434,1,402
sub-28691,1,402
sub-0050993,1,402
sub-0051162,0,303
sub-0050121,1,402
sub-30026,1,402
sub-0050187,1,402
sub-0050250,1,402
sub-29595,0,303
sub-0050532,1,402
sub-29497,0,303
sub-0050754,0,303
sub-0051583,1,402
sub-0050528,0,303
sub-0051170,1,402
sub-0050006,1,402
sub-29628,1,402
sub-29222,0,303
sub-28861,1,402
sub-28871,1,402
sub-0050152,1,402
sub-0050994,0,303
sub-29197,1,402
sub-0050131,0,303
sub-29115,0,303
sub-29677,0,303
sub-0050319,1,402
sub-0050324,0,303
sub-0050708,1,402
sub-29415,1,402
sub-28920,1,402
sub-0050694,1,402
sub-0051237,1,402
sub-0050320,0,303
sub-0051204,0,303
sub-0050485,1,402
sub-0050252,1,402
sub-28690,0,303
sub-0050025,0,303
sub-28908,0,303
sub-28887,1,402
sub-29515,0,303
sub-0050623,0,303
sub-0051241,1,402
sub-0051033,1,402
sub-29194,0,303
sub-29188,1,402
sub-0050272,1,402
sub-29389,0,303
sub-0050621,1,402
sub-28936,1,402
sub-0050803,1,402
sub-29516,1,402
sub-28935,1,402
sub-28810,0,303
sub-29482,0,303
sub-29561,0,303
sub-28718,1,402
sub-28677,1,402
sub-30021,0,303
sub-28924,0,303
sub-0050648,0,303
sub-29864,0,303
sub-0051206,1,402
sub-29344,1,402
sub-28930,1,402
sub-29274,1,402
sub-0050524,1,402
sub-29657,1,402
sub-29375,1,402
sub-29192,1,402
sub-29479,1,402
sub-0050696,0,303
sub-0050606,1,402
sub-0050124,0,303
sub-28897,0,303
sub-30148,1,402
sub-28789,0,303
sub-0051003,1,402
sub-0050987,1,402
sub-29416,0,303
sub-29624,0,303
sub-28962,1,402
sub-28675,1,402
sub-29196,0,303
sub-29212,0,303
sub-29796,1,402
sub-0051578,1,402
sub-28964,1,402
sub-0050604,0,303
sub-29105,1,402
sub-29603,1,402
sub-0050488,1,402
sub-0050284,1,402
sub-0050237,1,402
sub-0051023,1,402
sub-0050404,1,402
sub-0050697,1,402
sub-29398,1,402
sub-0051016,0,303
sub-0051329,1,402
sub-28869,1,402
sub-0051225,0,303
sub-28927,1,402
sub-28859,0,303
sub-0050012,0,303
sub-0050234,1,402
sub-29187,1,402
sub-0051208,1,402
sub-0050276,1,402
sub-29875,1,402
sub-0050397,1,402
sub-29200,0,303
sub-0050325,0,303
sub-29202,0,303
sub-0050497,0,303
sub-28695,0,303
sub-0050245,1,402
sub-0051009,0,303
sub-0051006,1,402
sub-0050406,0,303
sub-0051021,1,402
sub-0051323,1,402
sub-29873,1,402
sub-29060,1,402
sub-0051577,0,303
sub-28906,0,303
sub-0050982,1,402
sub-0050985,1,402
sub-29498,0,303
sub-30018,1,402
sub-28811,1,402
sub-0050962,1,402
sub-0050608,0,303
sub-29619,1,402
sub-0050477,1,402
sub-29221,0,303
sub-0050654,0,303
sub-0050149,1,402
sub-0050184,1,402
sub-28860,1,402
sub-29277,0,303
sub-0050612,1,402
sub-0050274,1,402
sub-29106,0,303
sub-28942,0,303
sub-0051221,1,402
sub-29885,1,402
sub-28952,1,402
sub-29376,0,303
sub-0051321,0,303
sub-0050236,0,303
sub-0050486,1,402
sub-0050251,1,402
sub-0050702,1,402
sub-0050752,1,402
sub-28694,0,303
sub-0051473,0,303
sub-0050490,1,402
sub-0050649,0,303
sub-29289,0,303
sub-0051177,0,303
sub-0050969,0,303
sub-29606,1,402
sub-29795,0,303
sub-29179,1,402
sub-0050989,1,402
sub-0050494,0,303
sub-0051236,0,303
sub-29662,0,303
sub-28840,1,402
sub-0050239,0,303
sub-0050290,1,402
sub-0050492,0,303
sub-29659,1,402
sub-29676,1,402
sub-29029,1,402
sub-0050015,1,402
sub-0051294,0,303
sub-0050144,1,402
sub-29731,0,303
sub-29866,0,303
