subject_id,group,group_size
sub-28788,1,205
sub-29030,2,197
sub-28822,1,205
sub-0051223,0,303
sub-29733,0,303
sub-29742,0,303
sub-29190,0,303
sub-0050986,0,303
sub-29674,0,303
sub-0051026,2,197
sub-0050130,0,303
sub-28992,1,205
sub-0050601,1,205
sub-29799,0,303
sub-29403,1,205
sub-0051011,0,303
sub-0050518,0,303
sub-29881,0,303
sub-28958,1,205
sub-0051202,1,205
sub-30019,1,205
sub-0051017,2,197
sub-0051164,2,197
sub-29111,0,303
sub-0050607,0,303
sub-29664,1,205
sub-0051327,2,197
sub-29869,1,205
sub-29656,2,197
sub-30005,1,205
sub-29013,0,303
sub-0050292,1,205
sub-0050241,0,303
sub-29569,0,303
sub-29096,1,205
sub-29545,1,205
sub-28933,1,205
sub-28824,2,197
sub-0050057,0,303
sub-29203,1,205
sub-0050125,2,197
sub-0051234,1,205
sub-0050291,2,197
sub-0050408,0,303
sub-0050704,0,303
sub-0050248,0,303
sub-30000,2,197
sub-30150,2,197
sub-29587,0,303
sub-29865,1,205
sub-29283,0,303
sub-0051463,0,303
sub-0051325,0,303
sub-0050285,1,205
sub-29183,2,197
sub-29103,0,303
sub-0051171,2,197
sub-0050974,0,303
sub-28754,0,303
sub-0050118,1,205
sub-29481,0,303
sub-28817,1,205
sub-29209,2,197
sub-0050129,0,303
sub-0050483,2,197
sub-0050954,0,303
sub-0050521,0,303
sub-0050748,2,197
sub-29879,0,303
sub-0051576,0,303
sub-0050232,1,205
sub-29658,0,303
sub-0050278,0,303
sub-0051173,0,303
sub-0050999,1,205
sub-0050984,0,303
sub-0050526,1,205
sub-0051229,0,303
sub-28963,1,205
sub-0050273,1,205
sub-0051178,1,205
sub-0050996,1,205
sub-0050791,0,303
sub-0051573,0,303
sub-29627,1,205
sub-29870,2,197
sub-30151,1,205
sub-28864,0,303
sub-29566,0,303
sub-0050301,0,303
sub-0050500,2,197
sub-28693,1,205
sub-29588,2,197
sub-0050312,0,303
sub-28835,0,303
sub-0050254,0,303
sub-29521,2,197
sub-0050743,0,303
sub-29099,0,303
sub-0050247,0,303
sub-29666,2,197
sub-0051301,2,197
sub-0050056,0,303
sub-0050249,0,303
sub-29794,2,197
sub-0050997,2,197
sub-0050527,0,303
sub-29393,0,303
sub-29281,0,303
sub-0050011,0,303
sub-29877,0,303
sub-28689,1,205
sub-0050403,1,205
sub-0050399,0,303
sub-0051025,1,205
sub-0050010,0,303
sub-0051201,0,303
sub-29059,0,303
sub-29208,2,197
sub-29015,0,303
sub-29886,2,197
sub-0050686,0,303
