subject_id,group,group_size
sub-28788,4,147
sub-29030,5,65
sub-28822,4,147
sub-0051223,0,155
sub-29733,1,83
sub-29742,0,155
sub-29190,1,83
sub-0050986,0,155
sub-29674,2,65
sub-0051026,5,65
sub-0050130,2,65
sub-28992,4,147
sub-0050601,4,147
sub-29799,0,155
sub-29403,4,147
sub-0051011,0,155
sub-0050518,2,65
sub-29881,0,155
sub-28958,4,147
sub-0051202,4,147
sub-30019,4,147
sub-0051017,7,93
sub-0051164,5,65
sub-29111,2,65
sub-0050607,0,155
sub-29664,4,147
sub-0051327,7,93
sub-29869,4,147
sub-29656,7,93
sub-30005,4,147
sub-29013,0,155
sub-0050292,4,147
sub-0050241,1,83
sub-29569,1,83
sub-29096,4,147
sub-29545,3,58
sub-28933,4,147
sub-28824,6,39
sub-0050057,1,83
sub-29203,4,147
sub-0050125,5,65
sub-0051234,4,147
sub-0050291,7,93
sub-0050408,1,83
sub-0050704,0,155
sub-0050248,0,155
sub-30000,6,39
sub-30150,5,65
sub-29587,0,155
sub-29865,3,58
sub-29283,1,83
sub-0051463,1,83
sub-0051325,0,155
sub-0050285,4,147
sub-29183,7,93
sub-29103,1,83
sub-0051171,6,39
sub-0050974,0,155
sub-28754,2,65
sub-0050118,4,147
sub-29481,1,83
sub-28817,4,147
sub-29209,6,39
sub-0050129,1,83
sub-0050483,7,93
sub-0050954,0,155
sub-0050521,0,155
sub-0050748,7,93
sub-29879,1,83
sub-0051576,0,155
sub-0050232,4,147
sub-29658,1,83
sub-0050278,2,65
sub-0051173,2,65
sub-0050999,4,147
sub-0050984,2,65
sub-0050526,3,58
sub-0051229,1,83
sub-28963,4,147
sub-0050273,4,147
sub-0051178,4,147
sub-0050996,4,147
sub-0050791,0,155
sub-0051573,0,155
sub-29627,3,58
sub-29870,5,65
sub-30151,4,147
sub-28864,0,155
sub-29566,0,155
sub-0050301,0,155
sub-0050500,7,93
sub-28693,4,147
sub-29588,6,39
sub-0050312,0,155
sub-28835,0,155
sub-0050254,1,83
sub-29521,7,93
sub-0050743,0,155
sub-29099,1,83
sub-0050247,0,155
sub-29666,7,93
sub-0051301,5,65
sub-0050056,1,83
sub-0050249,0,155
sub-29794,7,93
sub-0050997,6,39
sub-0050527,0,155
sub-29393,1,83
sub-29281,0,155
sub-0050011,0,155
sub-29877,1,83
sub-28689,4,147
sub-0050403,4,147
sub-0050399,2,65
sub-0051025,4,147
sub-0050010,0,155
sub-0051201,1,83
sub-29059,2,65
sub-29208,5,65
sub-29015,0,155
sub-29886,5,65
sub-0050686,0,155
sub-0050965,7,93
sub-28843,0,155
sub-29508,0,155
sub-29734,6,39
sub-0050992,3,58
sub-0051032,7,93
sub-0051012,5,65
sub-0050627,5,65
sub-0051464,4,147
sub-0050297,0,155
sub-28844,0,155
sub-0051585,4,147
sub-29409,1,83
sub-0050128,4,147
sub-0050756,0,155
sub-0050516,3,58
sub-29740,2,65
sub-29068,4,147
sub-0051580,0,155
sub-0050960,5,65
sub-29216,4,147
sub-29043,5,65
sub-29667,5,65
sub-29435,0,155
sub-28874,5,65
sub-29549,0,155
sub-29066,5,65
sub-0050024,0,155
sub-0050253,1,83
sub-29109,1,83
sub-0050413,0,155
sub-0050498,7,93
sub-0050529,0,155
sub-0050314,3,58
sub-0050279,4,147
sub-0050412,7,93
sub-29660,6,39
sub-0051606,3,58
sub-0050981,7,93
sub-29214,2,65
sub-28800,7,93
sub-29543,5,65
sub-0050014,7,93
sub-28855,4,147
sub-29211,2,65
sub-0050744,0,155
sub-0050602,7,93
sub-29027,4,147
sub-0051014,7,93
sub-0051302,2,65
sub-28787,0,155
sub-28898,7,93
sub-29872,1,83
sub-0050988,7,93
sub-29670,3,58
sub-0050502,7,93
sub-29539,4,147
sub-29031,3,58
sub-30016,4,147
sub-29882,3,58
sub-0050952,4,147
sub-28905,0,155
sub-29063,4,147
sub-0050020,0,155
sub-0050991,3,58
sub-0050480,7,93
sub-0050004,7,93
sub-28865,5,65
sub-0050976,7,93
sub-30011,2,65
sub-0050824,4,147
sub-28890,3,58
sub-0050978,7,93
sub-0051019,1,83
sub-0050647,4,147
sub-0051582,0,155
sub-0050690,5,65
sub-0050496,7,93
sub-0050411,4,147
sub-0050282,5,65
sub-0051248,2,65
sub-29610,7,93
sub-29385,4,147
sub-28807,4,147
sub-0050186,5,65
sub-28941,2,65
sub-0051249,1,83
sub-0051293,7,93
sub-0051318,0,155
sub-29400,3,58
sub-0050027,0,155
sub-29735,0,155
sub-0050983,7,93
sub-29456,3,58
sub-0051292,7,93
sub-28873,4,147
sub-0050525,0,155
sub-29213,2,65
sub-0050008,4,147
sub-29540,2,65
sub-29553,0,155
sub-0051214,6,39
sub-29542,5,65
sub-0050289,3,58
sub-28838,2,65
sub-29477,2,65
sub-29797,1,83
sub-28679,7,93
